ISBN,Title,Author,Edition,Publisher,Date,Dewey,LCCN,CatalogNumber,Pages,Source,Error
093969736x,James through Jude,"Johnson, Earl S.,",,,1988,220.7 s 227/.907,88180764,,,Library of Congress,
9781933663401,For the love of God,"Gonzalez, Justo L.",,,2010,,2009937817,,,Library of Congress,
9780664225575,letters of John and Jude,"Barclay, William,",3rd ed.,,2002,,2003270277,,,Library of Congress,
0804231451,"First and Second Peter, James, and Jude","Perkins, Pheme.",,,1995,227/.907,94038274,,,Library of Congress,
0804231338,Hebrews,"Long, Thomas G.,",,,1997,227/.8707,96049258,,,Library of Congress,
0824519418,scandalous message of James,"Tamez, Elsa.",Rev. ed.,,2002,227/.9106,2002000607,,,Library of Congress,
9780664225582,Letter to the Hebrews,"Barclay, William,","3rd ed., fully rev. and updated.",,2002,227/.87/077,2004271605,,,Library of Congress,
0939697351,Hebrews,"Wolcott, Leonard T.",,,1988,220.7 s 227/.8707,88180885,,,Library of Congress,
0060619023,Living with contradiction,"De Waal, Esther.",1st U.S. ed.,,1989,255/.106,89045233,,,Library of Congress,
0060256737,light in the attic,"Silverstein, Shel.",,,2005,811.008/09282,2006273385,,,Library of Congress,
0939697343,"1 and 2 Timothy, Titus, and Philemon","Sargent, James E.",,,1988,220.7 s 227.8,88180879,,,Library of Congress,
0664227945,Paul for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,227/.83077,2006296527,,,Library of Congress,
0939697335,Philippians through Second Thessalonians,"Blair, Edward Payson,",,,1988,220.7 s 227,88180809,,,Library of Congress,
9781933663401,For the love of God,"Gonzalez, Justo L.",,,2010,,2009937817,,,Library of Congress,
9780664225575,letters of John and Jude,"Barclay, William,",3rd ed.,,2002,,2003270277,,,Library of Congress,
0804231451,"First and Second Peter, James, and Jude","Perkins, Pheme.",,,1995,227/.907,94038274,,,Library of Congress,
0804231338,Hebrews,"Long, Thomas G.,",,,1997,227/.8707,96049258,,,Library of Congress,
0824519418,scandalous message of James,"Tamez, Elsa.",Rev. ed.,,2002,227/.9106,2002000607,,,Library of Congress,
9780664225582,Letter to the Hebrews,"Barclay, William,","3rd ed., fully rev. and updated.",,2002,227/.87/077,2004271605,,,Library of Congress,
0939697351,Hebrews,"Wolcott, Leonard T.",,,1988,220.7 s 227/.8707,88180885,,,Library of Congress,
066424428289,Unknown Title,,,,,,,CatalogNumber 066424428289,,,Metadata not found
0060727918,Gospels of Mary,"Meyer, Marvin W.",1st ed.,,2004,229/.8,2004300570,,,Library of Congress,
0687089557,Stories between the testaments,"Kimbrough, Marjorie L.,",,,2000,229/.061,99054187,,,Library of Congress,
9780664227975,Revelation for everyone,"Wright, N. T. (Nicholas Thomas)",,,2011,228/.077,2011028912,,,Library of Congress,
9781426752513,way,"Hamilton, Adam,",,,2012,232.9/5,2012285012,,,Library of Congress,
0849958423,Small gifts in God's hands,"Lucado, Max.",,,2000,[E],00033945,,,Library of Congress,
0439372658,All you ever need,Max Lucado,,Scholastic Inc.,2001,,,CatalogNumber 0439372658,,Open Library,
04394111173,Unknown Title,,,,,,,CatalogNumber 04394111173,,,Metadata not found
0764222627,Glow-in-the-dark fish,"Reinhard, B. J.",,,2000,242/.62,00008272,,,Library of Congress,
084995830x,Jacob's gift,"Lucado, Max.",,,1998,[E],98006490,,,Library of Congress,
039922503x,bracelet,"Uchida, Yoshiko.",,,1993,[E],92026196,,,Library of Congress,
0439642868,Best of All,Max Lucado,,Scholastic,"Mar 15, 2004",,,CatalogNumber 0439642868,,Open Library,
0817009450,shoemaker's dream,"Kasuya, Masahiro.",,,1982,[E],82128770,,,Library of Congress,
0439436761,You are mine,Max Lucado,,Scholastic,2002,,,CatalogNumber 0439436761,31,Open Library,
0891079319,You are special,"Lucado, Max.",,,1997,[E],97005387,,,Library of Congress,
1883220971,When God made the tree,"Kroll, Virginia L.",1st ed.,,1999,582.16,99012163,,,Library of Congress,
1581341342,All you ever need,"Lucado, Max.",,,2000,[Fic],99045155,,,Library of Congress,
1563974681,My freedom trip,"Park, Frances,",1st ed.,,1998,[E],97077911,,,Library of Congress,
9781878685438,Pagemaster,"Kirschner, David,",1st ed.,,1993,[Fic],93060644,,,Library of Congress,
0789449439,secret garden,"McKellar, Shona.",1st American ed.,,1999,[Fic],99033392,,,Library of Congress,
0060248025,Falling up,"Silverstein, Shel.",,,1996,811/.54,96075736,,,Library of Congress,
0664255116,Westminster dictionary of theological terms,"McKim, Donald K.",1st ed.,,1996,230/.03,96021588,,,Library of Congress,
9781405114240,Theology,"McGrath, Alister E.,",,,2004,230,2003022140,,,Library of Congress,
0687084105,This Is Christianity,Maxie Dunnam,,Abingdon Press,January 1998,,,CatalogNumber 0687084105,,Open Library,
0687287529,Becoming a thinking Christian,"Cobb, John B.",,,1993,230/.044,93014951,,,Library of Congress,
0836192362,upside-down kingdom,"Kraybill, Donald B.",25th anniversary ed.,,2003,231.7/2,2003006054,,,Library of Congress,
0687325692,Understanding the Kingdom of God,Georgia Harkness,,Abingdon Press,"August 30, 2005",,,CatalogNumber 0687325692,176,Open Library,
0687173108,Holy Spirit in the Wesleyan heritage,"Stokes, Mack B.",,,1985,231/.044,85006146,,,Library of Congress,
0892839090,The Greatest Counselor in the World,Lloyd John Ogilvie,,Servant Ministries,September 1995,,,CatalogNumber 0892839090,,Open Library,
1570753326,"Holy Trinity, perfect community","Boff, Leonardo.",,,2000,231/.044,00038508,,,Library of Congress,
0140446737,Revelations of divine love (short text and long text),"Julian,",,,1998,242,99199183,,,Library of Congress,
0385482612,What is God?,"Girzone, Joseph F.",1st ed.,,1996,231/.4,96023179,,,Library of Congress,
0060667133,C.S. Lewis's Case for Christian Faith,Richard L. Purtill,,HarperSanFrancisco,January 1985,,,CatalogNumber 0060667133,146,Open Library,
0664222420,Encountering God,"Purves, Andrew,",1st ed.,,2000,230/.51,2001274300,,,Library of Congress,
0882709488,Confessions,"Augustine,",,,2003,,2004556784,,,Library of Congress,
9781426714252,journey,"Hamilton, Adam,",,,2011,232.92,2011020914,,,Library of Congress,
9781426752513,way,"Hamilton, Adam,",,,2012,232.9/5,2012285012,,,Library of Congress,
0060616296,The historical Jesus,John Dominic Crossan,,HarperSanFrancisco,1992,,,CatalogNumber 0060616296,507,Open Library,
0060609168,Meeting Jesus again for the first time,"Borg, Marcus J.",1st ed.,,1994,232.9/08,93025390,,,Library of Congress,
0880705744,God came near,Max Lucado,,Multnomah Press,1987,,,CatalogNumber 0880705744,199,Open Library,
0896932443,The Master,John Charles Pollock,,Victor Books,1985,,,CatalogNumber 0896932443,240,Open Library,
9654340011,WITH JESUS THROUGH GALILEE ACCORDING TO THE FIFTH GOSPEL,Bargil Pixner,,Corazin,1992,,,CatalogNumber 9654340011,,Open Library,
0060970804,Jesus through the centuries,"Pelikan, Jaroslav,",1st Perennial Library ed.,,1987,232.9/04,86045679,,,Library of Congress,
9781426714252,journey,"Hamilton, Adam,",,,2011,232.92,2011020914,,,Library of Congress,
9781426752513,way,"Hamilton, Adam,",,,2012,232.9/5,2012285012,,,Library of Congress,
0060609168,Meeting Jesus again for the first time,"Borg, Marcus J.",1st ed.,,1994,232.9/08,93025390,,,Library of Congress,
0060616296,The historical Jesus,John Dominic Crossan,,HarperSanFrancisco,1992,,,CatalogNumber 0060616296,507,Open Library,
0310755301,Reliving the passion,"Wangerin, Walter.",,,1992,232.96,91032854,,,Library of Congress,
0745913180,Jesus then and now,"David Watson, David Watson, Simon Jenkins",,Lion in association with Lella Productions,1987,,,CatalogNumber 0745913180,189,Open Library,
0385495137,"Jesus, his life and teachings","Girzone, Joseph F.",1st ed.,,2000,232.9/01 B,99047282,,,Library of Congress,
0687005442,Jesus & the land,"Page, Charles R.",,,1995,226/.091,95007415,,,Library of Congress,
9780310275947,Who is this man?,"Ortberg, John.",,,2012,232.9/04,2019722746,,,Library of Congress,
9780805098549,Killing Jesus,"O'Reilly, Bill.",First edition.,,2013,232.96,2013021752,,,Library of Congress,
0300048645,From Jesus to Christ,Paula Fredriksen,,Yale University Press,"July 25, 1990",,,CatalogNumber 0300048645,268,Open Library,
9781426746802,Final words from the cross,"Hamilton, Adam,",,,2011,232.96/35,2011037240,,,Library of Congress,
0895772574,Jesus and his times,Reader's Digest Association.,,,1987,232.9,86024857,,,Library of Congress,
0060674318,Forgive and forget,Lewis B. Smedes,,HarperSanFrancisco,1996,,,CatalogNumber 0060674318,151,Open Library,
0826408885,process of forgiveness,"Meninger, William.",,,1996,234/.5,95052494,,,Library of Congress,
0802428843,freedom of forgiveness,"Augsburger, David W.",,,1988,234/.5,88005292,,,Library of Congress,
0874869927,Why forgive?,"Arnold, Johann Christoph,",,,2000,234/.5,99050827,,,Library of Congress,
0664226345,meal Jesus gave us,"Wright, N. T. (Nicholas Thomas)",1st U.S. ed.,,2002,234/.163,2003041159,,,Library of Congress,
0835803996,Remember who you are,"Willimon, William H.",,,1980,234/.161,79093359,,,Library of Congress,
0687367077,Sacraments as God's self giving,"White, James F.",,,1983,234/.16,83002659,,,Library of Congress,
0687023645,"Baptism, Christ's act in the church","Stookey, Laurence Hull,",,,1982,234/.161,81017590,,,Library of Congress,
068733327x,This gift of water,"Felton, Gayle Carlton,",,,1992,234/.161,92028386,,,Library of Congress,
0849911435,In the grip of grace,"Lucado, Max,",,,1996,248.4,2019714897,,,Library of Congress,
0687057159,Freed by grace,"Brady, Hal.",,,1998,248.4/876,99165404,,,Library of Congress,
0310245656,What's So Amazing About Grace?,Philip Yancey,,Zondervan,"February 1, 2002",,,CatalogNumber 0310245656,304,Open Library,
0849911389,gentle thunder,"Lucado, Max.",,,1995,242/.5,2019718977,,,Library of Congress,
0835807789,carpenter and the unbuilder,"Griebner, David M.,",,,1996,813/.54,96004552,,,Library of Congress,
0835805840,Book of Christmas,"Upper Room (Publisher : Nashville, Tenn.)",,,1988,242/.33,88050244,,,Library of Congress,
0687009529,More meditations to make you smile,"Beckman, Martha J.,",,,1997,242,99226688,,,Library of Congress,
9780684815008,cost of discipleship,"Bonhoeffer, Dietrich,",1st Touchstone ed.,,1995,241.5/3,95022223,,,Library of Congress,
068746661x,"Yes, Lord, I have sinned, but I have several excellent excuses","Moore, James W. (James Wendell),",,,1991,241/.3,90040832,,,Library of Congress,
006063796x,moral vision of the New Testament,"Hays, Richard B.",1st ed.,,1996,241/.09/015,96011845,,,Library of Congress,
9780664258269,The Apostles' Creed (The William Barclay Library),William L. Barclay,,Westminster John Knox Press,February 1999,,,CatalogNumber 9780664258269,320,Open Library,
0664258263,The Apostles' Creed (The William Barclay Library),William L. Barclay,,Westminster John Knox Press,February 1999,,,CatalogNumber 0664258263,320,Open Library,
978068704351490000,Unknown Title,,,,,,,CatalogNumber 978068704351490000,,,Metadata not found
1893361187,Labyrinths from the outside in,"Schaper, Donna.",,,2000,291.3/7,00010978,,,Library of Congress,
0829813438,Praying the labyrinth,"Geoffrion, Jill Kimberly Hartwell,",,,1999,248.4/6,99034495,,,Library of Congress,
0801559502,Positive prayers for power-filled living,"Schuller, Robert H. (Robert Harold),",,,1976,242/.8,75020901,,,Library of Congress,
0877886466,Prayers across the centuries,"Wright, Vinita Hampton,",,,1993,242/.8,92032268,,,Library of Congress,
9781557252005,Abba Father,"Hyde, William De Witt,",,,1998,242/.8,98004937,,,Library of Congress,
0827212410,Grant us your peace,"Grant, David R.",,,1998,242,98034593,,,Library of Congress,
0807023086,Guide my feet,"Edelman, Marian Wright.",,,1995,242/.645,95008661,,,Library of Congress,
0345432975,wisdom of St. Patrick,"Tobin, Greg.",1st ed.,,1999,270.2/092 B,98046505,,,Library of Congress,
0849917433,I married adventure,"Swindoll, Luci,",,,2002,277.3/082/092 B,2019720708,,,Library of Congress,
0060663766,Bread for the journey,"Nouwen, Henri J. M.",1st ed.,,1997,242/.2,96023679,,,Library of Congress,
0687057019,Wesleyan spiritual reader,"Job, Rueben P.",,,1997,242/.2,97038332,,,Library of Congress,
0310584817,Daily thoughts for disciples,"Chambers, Oswald,",,,1992,242/.2,92008294,,,Library of Congress,
0835806804,Weavings reader,"Mogabgab, John S.",,,1993,248,92061443,,,Library of Congress,
0817011617,Looking for God in all the wrong places?,"Seymour, Jody,",,,1990,242,90035466,,,Library of Congress,
0840777698,Sparks in the dark,"Walsh, Sheila,",,,1992,242,92013104,,,Library of Congress,
0817012699,Finding God between the lines,"Seymour, Jody,",,,1997,242,97014980,,,Library of Congress,
0687292115,"Dear Lord, they want me to give the devotions!","Schroeder, John D.",,,1993,242,94177451,,,Library of Congress,
1560063254,Life on a medieval pilgrimage,"Nardo, Don,",,,1996,248.4/63/0902,95020488,,,Library of Congress,
0060604018,Guide to Daily Prayer,William L. Barclay,,Harpercollins,June 1974,,,CatalogNumber 0060604018,,Open Library,
0835807681,Opening to God,"Bohler, Carolyn Stahl,",Completely rev. and expanded.,,1996,,95062356,,,Library of Congress,
0687038928,Memories of God,"Bondi, Roberta C.",,,1995,230/.044/092 B,94037755,,,Library of Congress,
0687273269,In ordinary time,"Bondi, Roberta C.",,,1996,248.3/2,96016772,,,Library of Congress,
080071251x,My utmost for His Highest,"Chambers, Oswald,",[Large print ed.].,,1981,242/.2,81137492,,,Library of Congress,
0835808033,Children and prayer,"Cloyd, Betty Shannon.",,,1997,248.3/2/083,96046093,,,Library of Congress,
0687084326,Prayer and devotional life of United Methodists,"Harper, Steve,",,,1999,248/.088/27,99041013,,,Library of Congress,
1557251983,Creative prayer,"Herman, E. (Emily),",,,1998,248.3/2,98010845,,,Library of Congress,
083580559x,A Guide to Prayer for Ministers and Other Servants,"Rueben P. Job, Norman Shawchuck",,,1987-06,,,CatalogNumber 083580559x,0,Google Books,
0835806138,Guide to prayer for all God's people,"Job, Rueben P.",Deluxe ed.,,1990,242/.3,89051767,,,Library of Congress,
1560063254,Life on a medieval pilgrimage,"Nardo, Don,",,,1996,248.4/63/0902,95020488,,,Library of Congress,
0060604018,Guide to Daily Prayer,William L. Barclay,,Harpercollins,June 1974,,,CatalogNumber 0060604018,,Open Library,
0835807681,Opening to God,"Bohler, Carolyn Stahl,",Completely rev. and expanded.,,1996,,95062356,,,Library of Congress,
0687038928,Memories of God,"Bondi, Roberta C.",,,1995,230/.044/092 B,94037755,,,Library of Congress,
0687273269,In ordinary time,"Bondi, Roberta C.",,,1996,248.3/2,96016772,,,Library of Congress,
080071251x,My utmost for His Highest,"Chambers, Oswald,",[Large print ed.].,,1981,242/.2,81137492,,,Library of Congress,
0835808033,Children and prayer,"Cloyd, Betty Shannon.",,,1997,248.3/2/083,96046093,,,Library of Congress,
0687084326,Prayer and devotional life of United Methodists,"Harper, Steve,",,,1999,248/.088/27,99041013,,,Library of Congress,
1557251983,Creative prayer,"Herman, E. (Emily),",,,1998,248.3/2,98010845,,,Library of Congress,
083580559x,A Guide to Prayer for Ministers and Other Servants,"Rueben P. Job, Norman Shawchuck",,,1987-06,,,CatalogNumber 083580559x,0,Google Books,
083580559x,A Guide to Prayer for Ministers and Other Servants,"Rueben P. Job, Norman Shawchuck",,,1987-06,,,CatalogNumber 083580559x,0,Google Books,
0835806138,Guide to prayer for all God's people,"Job, Rueben P.",Deluxe ed.,,1990,242/.3,89051767,,,Library of Congress,
0827221231,Living inside out,"Linn, Jan.",,,1994,242/.4,94012023,,,Library of Congress,
0385092199,Contemplative prayer.,Thomas Merton,,Image Books,1969,,,CatalogNumber 0385092199,116,Open Library,
0835806766,Beginning prayer,"Killinger, John.",Rev. ed.,,1993,,92061439,,,Library of Congress,
0883683520,Release the power of prayer,"Muller, George,",,,1999,289.9 B,99055750,,,Library of Congress,
0281054541,How to Pray,John Pritchard,,Society for Promoting Christian Knowledge,January 2003,,,CatalogNumber 0281054541,128,Open Library,
0835807096,Sacred journeys,"Richardson, Jan L.",,,1995,242/.3,94060658,,,Library of Congress,
0835807835,Responding to God,"Rowlett, Martha Graybeal.",,,1996,248.3/2,96016354,,,Library of Congress,
0835808009,Dimensions of prayer,"Steere, Douglas V. (Douglas Van),",Rev. ed.,,1997,248.3/2,96043268,,,Library of Congress,
0835808068,Gathered in the Word,"Vest, Norvene.",,,1996,220/.07,96043231,,,Library of Congress,
9780060628390,Celebration of discipline,"Foster, Richard J.","20th anniversary ed., 3rd ed., rev. ed.",,1998,248.4/896,98128217,,,Library of Congress,
0849918324,journey,"Graham, Billy,",,,2006,248.4,2019715218,,,Library of Congress,
0687186501,"If experience is such a good teacher, why do I keep repeating the course?","Kalas, J. Ellsworth,",,,1994,170/.44,93044454,,,Library of Congress,
0849939453,When God Whispers Your Name,Max Lucado,,"Nelson Incorporated, Thomas",1996,,,CatalogNumber 0849939453,,Open Library,
0687186501,"If experience is such a good teacher, why do I keep repeating the course?","Kalas, J. Ellsworth,",,,1994,170/.44,93044454,,,Library of Congress,
0687110610,Don't put a period where God put a comma,"Mohney, Nell.",,,1993,248.4,93000359,,,Library of Congress,
0687975700,top ten list for Christians,"Moore, James W. (James Wendell),",,,1999,248.4,99011348,,,Library of Congress,
1557250634,Religion of the heart,"More, Hannah,",,,1993,248.4,93084600,,,Library of Congress,
9780310246954,life you've always wanted,"Ortberg, John.",[Expanded ed.].,,2002,248.4,2003265764,,,Library of Congress,
1573222488,interior castle,"Teresa,",,,2003,248.4/82,2002037086,,,Library of Congress,
0664255485,Soul feast,"Thompson, Marjorie J.,",1st ed.,,1995,248,95005098,,,Library of Congress,
0802841635,Becoming like Jesus,"Van Dyken, Seymour.",,,1996,241,96009148,,,Library of Congress,
9780881775563,A Blueprint For Discipleship Wesleys General Rules As A Guide For Christian Living,Kevin M. Watson,,Discipleship Resources,2009,,,CatalogNumber 9780881775563,127,Open Library,
0687001005,"Empty nest, full life","Drew, Anne Marie.",,,1995,248.8/431,94033044,,,Library of Congress,
0687006104,This too shall pass,"Groseclose, Kel,",,,1995,248.8/45,95020230,,,Library of Congress,
9781426714788,Why?,"Hamilton, Adam,",,,2011,231/.5,2011009103,,,Library of Congress,
0664256619,Proclaim jubilee!,"Harris, Maria.",1st ed.,,1996,263,96000277,,,Library of Congress,
0835808882,Spiritual preparation for Christian leadership,"Hinson, E. Glenn.",,,1999,248.8/92,98055759,,,Library of Congress,
0060922249,Care of the soul,"Moore, Thomas, Thomas Moore, Labyrinth",,HarperPerennial,1994,,,CatalogNumber 0060922249,312,Open Library,
0385418671,return of the prodigal son,"Nouwen, Henri J. M.",1st ed.,,1992,248.4/82,91030587,,,Library of Congress,
0060669640,generation of seekers,"Roof, Wade Clark.",1st ed.,,1993,248.8/4,92053920,,,Library of Congress,
0060677422,Five cries of grief,"Strommen, Merton P.",1st ed.,,1993,248.8/6,91059025,,,Library of Congress,
0962845574,Don't cry past Tuesday,"Poole, Charles E.",,,1996,252/.06132,91042264,,,Library of Congress,
0664255531,Reclaiming the Bible,"Brown, Robert McAfee,",1st ed.,,1994,252/.051,94008687,,,Library of Congress,
0664258476,heart of Black preaching,"LaRue, Cleophus James,",1st ed.,,2000,251/.0089/96073,99043131,,,Library of Congress,
0687338700,Preaching Old Testament,"Holbert, John C.",,,1991,251,91007712,,,Library of Congress,
0687074231,Performing the Word,"Childers, Jana.",,,1998,251,98028390,,,Library of Congress,
0687074703,"Holy root, holy branches","Allen, Ronald J. (Ronald James),",,,1995,251,94048376,,,Library of Congress,
0687094054,Connecting with God,"Miller, Herb.",,,1994,253,94006697,,,Library of Congress,
0787983373,Christian Reflections on The Leadership Challenge,"James M. Kouzes, Barry Z. Posner",,Jossey-Bass,"April 14, 2006",,,CatalogNumber 0787983373,176,Open Library,
0687467756,Who will go for us?,"Campbell, Dennis M.,",,,1994,253/.2,93023623,,,Library of Congress,
0687022266,standard sermons in modern English,"Wesley, John,",,,2002,252/.07,2001055256,,,Library of Congress,
0687028108,standard sermons in modern English,"Wesley, John,",,,2002,252/.07,2001055256,,,Library of Congress,
0687052963,standard sermons in modern English,"Wesley, John,",,,2002,252/.07,2001055256,,,Library of Congress,
0687179289,How to reach baby boomers,"Easum, William M.,",,,1991,259/.084/4,91014244,,,Library of Congress,
1573220280,cloister walk,"Norris, Kathleen,",,,1996,255,96000863,,,Library of Congress,
0687045479,New tools for a new century,"Jewell, John P.,",,,2002,254/.3,2001008573,,,Library of Congress,
0310375614,Inside the mind of unchurched Harry & Mary,"Strobel, Lee,",,,1993,269/.2,2019714762,,,Library of Congress,
0880700238,Life-style evangelism,Aldrich Joseph C,,Spring Arbor Distribution,1983,,,CatalogNumber 0880700238,,Open Library,
0817011951,Carevision,"Robbins, Jerry K.",,,1993,253,93023840,,,Library of Congress,
0806621230,"Christian caregiving, a way of life","Haugk, Kenneth C.,",,,1984,248/.5,84024341,,,Library of Congress,
0802806600,Five smooth stones for pastoral work,"Peterson, Eugene H.,",,,1992,253,92029589,,,Library of Congress,
0687424984,Transforming Bible study,"Wink, Walter.","2nd ed., completely rev. & expanded.",,1989,220/.07,89029889,,,Library of Congress,
0835807827,Rituals for resurrection,"Vogel, Linda Jane.",,,1996,265/.85,96014995,,,Library of Congress,
0687038103,Praising The God of Grace: The Theology Of Charles Wesley's Hymns,"Charles, Jr. Yrigoyen",,Abingdon Press,"April 15, 2005",,,CatalogNumber 0687038103,110,Open Library,
0687078075,52 Hymn Story Devotions,Lucy Neeley Adams,,Abingdon Press,April 2000,,,CatalogNumber 0687078075,72,Open Library,
0687132657,Forbid them not,"Brown, Carolyn C. (Carolyn Carter),",,,1992,264/.0083,90045012,,,Library of Congress,
0835807150,Faces at the cross,"Shepherd, J. Barrie.",,,1995,811/.54,94061266,,,Library of Congress,
0835806650,Sabbath time,"Edwards, Tilden.",,,1992,,92080947,,,Library of Congress,
0802804578,Keeping the Sabbath wholly,"Dawn, Marva J.",,,1989,263/.3,89039371,,,Library of Congress,
0891093028,Turning Committees into Communities,Hestenes,,Navpress Publishing Group,January 1991,,,CatalogNumber 0891093028,32,Open Library,
0679722327,"Adam, Eve, and the serpent","Pagels, Elaine H.,",1st Vintage Books ed.,,1989,241/.66/09015,89040147,,,Library of Congress,
9780062076212,Toxic charity,Robert D. Lupton,,HarperOne,2012,,,CatalogNumber 9780062076212,191,Open Library,
0687084253,loyal opposition,"Sample, Tex.",,,2000,261.8/35766,99050271,,,Library of Congress,
0687027195,Fellowship of love,"Knotts, Alice G.",,,1996,261.8/348/008827,96030274,,,Library of Congress,
0687020883,Forgetting whose we are,"Keck, David,",,,1996,261.8/32196831,96015344,,,Library of Congress,
0800631862,Homosexuality and Christian faith,"Wink, Walter.",,,1999,261.8/35766,99022979,,,Library of Congress,
0896225941,Cancer and faith,"Carmody, John.",,,1994,,94060080,,,Library of Congress,
0687021944,Divinity & diversity,"Suchocki, Marjorie.",,,2003,261.2,2003001114,,,Library of Congress,
0006271367,Timeless at Heart,C. S. Lewis,,HarperCollins Publishers,"July 16, 1987",,,CatalogNumber 0006271367,144,Open Library,
9780664229825,"Hagar, Sarah, and their children","Trible, Phyllis.",1st ed.,,2006,222/.110922,2005043463,,,Library of Congress,
0687016053,Where resident aliens live,"Hauerwas, Stanley,",,,1996,261/.1,96151393,,,Library of Congress,
0687361591,Resident aliens,"Hauerwas, Stanley,",,,1989,261.1,89000294,,,Library of Congress,
9780801031670,Everyday theology,"Vanhoozer, Kevin J.",,,2007,261,2006030278,,,Library of Congress,
55-10767,Unknown Title,,,,,,,CatalogNumber 55-10767,,,Metadata not found
68-54084,Unknown Title,,,,,,,CatalogNumber 68-54084,,,Metadata not found
88-50084,Unknown Title,,,,,,,CatalogNumber 88-50084,,,Metadata not found
62-9387,Unknown Title,,,,,,,CatalogNumber 62-9387,,,Metadata not found
61-14623,Unknown Title,,,,,,,CatalogNumber 61-14623,,,Metadata not found
61-16025,Unknown Title,,,,,,,CatalogNumber 61-16025,,,Metadata not found
85-29773,Unknown Title,,,,,,,CatalogNumber 85-29773,,,Metadata not found
83-51732,Unknown Title,,,,,,,CatalogNumber 83-51732,,,Metadata not found
74-153643,Unknown Title,,,,,,,CatalogNumber 74-153643,,,Metadata not found
54-11762,Unknown Title,,,,,,,CatalogNumber 54-11762,,,Metadata not found
59-10333,Unknown Title,,,,,,,CatalogNumber 59-10333,,,Metadata not found
95-16264,Unknown Title,,,,,,,CatalogNumber 95-16264,,,Metadata not found
63-8721,Unknown Title,,,,,,,CatalogNumber 63-8721,,,Metadata not found
32-8057,Unknown Title,,,,,,,CatalogNumber 32-8057,,,Metadata not found
56-10318,Unknown Title,,,,,,,CatalogNumber 56-10318,,,Metadata not found
63-15746,Unknown Title,,,,,,,CatalogNumber 63-15746,,,Metadata not found
68-17595,Unknown Title,,,,,,,CatalogNumber 68-17595,,,Metadata not found
58-10862,Unknown Title,,,,,,,CatalogNumber 58-10862,,,Metadata not found
66-10920,Unknown Title,,,,,,,CatalogNumber 66-10920,,,Metadata not found
56-5374,Unknown Title,,,,,,,CatalogNumber 56-5374,,,Metadata not found
65-10706,Unknown Title,,,,,,,CatalogNumber 65-10706,,,Metadata not found
63-11380,Unknown Title,,,,,,,CatalogNumber 63-11380,,,Metadata not found
60-5237,Unknown Title,,,,,,,CatalogNumber 60-5237,,,Metadata not found
68-11375,Unknown Title,,,,,,,CatalogNumber 68-11375,,,Metadata not found
